The Swineherd
'balcony.': PWAL/KOEPB/TP-PL
'He': KPA/HE
'rubbed': RUBD
'his': HEUS
'eyes': AO*EUS
'and': SKP
'put': PUT
'his': HEUS
'spectacles': SPEBGT/K-LS
'on.': OPB/TP-PL
'"The': KW-GS/KPA*/-T
'ladies': HRAEUDZ
'of': -F
'the': -T
'court': KORT
'are': R
'up': UP
'to': TO
'some': SOPL
'mischief,': PHEUS/KHEF/KW-BG
'I': EU
'think.': THEU/TP-PL
'I': EU
'shall': SHAL
'have': SR
'to': TO
'go': TKPW
'down': TKOUPB
'and': SKP
'see."': SAOE/TP-PL/KR-GS
'He': KPA/HE
'pulled': PULD
'up': UP
'his': HEUS
'shoes,': SHAOUS/KW-BG
'for': TPOR
'they': THE
'were': WR
'down': TKOUPB
'at': AT
'the': -T
'heels,': HAOELS/KW-BG
'and': SKP
'he': HE
'was': WAS
'very': SRE
'quick': KWEUBG
'about': PW
'it.': T/TP-PL
'When': KPA/WHEPB
'he': HE
'had': H
'come': KOPL
'down': TKOUPB
'into': TPHAO
'the': -T
'courtyard': KORT/KWRARD
'he': HE
'walked': WAUBGD
'quite': KWAOEUT
'softly,': SOFT/HREU/KW-BG
'and': SKP
